Round,Seat,Turn,Dora,Hand,Answer,ExplanationEng,ExplanationFr,Source
E1,W,7,7s,1234578m1155p67s5m,,"6 blocks, so one too many. Aim for a wide iishanten. If you get a triplet of 5p, you can get the hand below and transition into tanyao, so don't cut it. %12345578m155p67s%","6 blocs, un de trop. Le mieux est de viser l'iishanten le plus large. Avec un brelan de 5p, il est possible de transitionner en tanyao, à garder. %12345578m155p67s%",handmade
E1,W,7,3p,34567m2388p5779s1p,7s,The tile acceptance doesn't change no matter which souzu is cut. Fix the ryankan to increase the chances of pinfu. %34567m12388p579s%,Les attentes ne changent pas peu importe le bambou jeté. Le mieux est de fixer le ryankan pour augmenter les chances de pinfu. %34567m12388p579s%,Q-001
E1,W,7,3p,34567m2388p5779s4p,9s,Confirm tanyao to increase the value. You can also call and open the hand if the situation requires it. %34567m12388p577s%,Confirmer tanyao pour augmenter la valeur de la main. Possibilité d'appeler si nécéssaire. %34567m12388p577s%,Q-002
E1,W,7,3p,34567m2388p5779s7s,5s,"The tile acceptance between 5s and 9s is the same. Keeping 5s lets you accept aka 5s, but you already have a 3-way wait on manzu and a 2-way wait on pinzu with dora. Fix 777s as a group and cut from the inside to keep the safer 9s for later.","L'acceptance entre 5s et 9ps est la même. Garder 5s permet d'accepter l'aka 5s, mais nous avons déjà un 3-way en manzu et un 2-way en pinzu avec dora. Il vaut mieux garder 777s comme un groupe et couper depuis l'intérieur pour garder le 9s qui est plus safe pour plus tard.",Q-003
E1,E,6,1s,678889m40579p33s8p,5p,"By fixing the ryanmen you get a shape where it's easy to get pinfu. The shape on manzu accepts 6 tiles, 5-8m, 7m.","En fixant le ryanmen on obtient une forme qui rend le pinfu facile d'aaccès. La forme en manzu accepte 6 tuiles, 5-8m, 7m.",Q-004
E1,E,6,1s,678889m40579p11z8p,9m,"The 2 han from double ton are a lot. This way you'll always get tenpai waiting on ton, and you're only losing acceptance of 1 tile.","Les 2 hans du double ton jouent beaucoup. De cette manière, vous obtiendez toujours tenpai en attendant ton et vous ne perdez qu'une tuile d'acceptance.",Q-005
E1,W,6,2m,33m223677888p40s6s,2p,"Choice is between 2p and 8p. Cutting 8p can give you iipekou and increase the value of the hand, but cutting 2p gives you 5 more tiles to wait on. Chance of iipeikou is simply not worth that much.","Le choix est entre 2p et 8p. Couper 8p peut donner iipekou et augmenter la valeur de la main, mais couper 2p donne 5 tuiles supplémentaires d'attente. Les chances d'iipekou ne valent pas autant.",Q-006
E1,E,7,7m,67m34556777p334s6p,4s,"Take out the completed shape 567p. You can see the sanmenchan with a 7p attached. Fixing the head in souzu is great both for value and acceptance, see: %67m345677p334s% + %567p%",,Q-007
E1,E,7,7m,67m34556777p334s2p,5p,"The acceptance varies greatly depending on the presence of 2 heads. 3s is out because the loss in tile acceptance is too big. it becomes a choice between 5p and 4s, fixing the head on souzu or pinzu. 5p acceptance is better and you'll probably get tanyao anyway. If you need points, it's okay to cut 2p and confirm tanyao.",,Q-008
E1,W,6,2p,112m223677888p0s6s,2m,"Dora 3 2-shanten hand. Keep 3 heads so you can move to 2 at 1-shanten. You can also move towards tanyao. Cutting 8p isn't too bad (and probably easier to spot), but it's better not to touch the complex shape in pinzu until later.",,Q-009
